group;kingdom;phylum;class;order;family;genus;species
ASV00081;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00082;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(80);Saprolegniaceae(80);unclassified;unclassified
ASV00083;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_heterothallicum(74)
ASV00084;Eukaryota(100);Stramenopiles(100);Oomycetes(91);unclassified;unclassified;unclassified;unclassified
ASV00085;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00086;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00087;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(99);Pythium(97);unclassified
ASV00088;Eukaryota(100);Stramenopiles(100);Oomycetes(91);unclassified;unclassified;unclassified;unclassified
ASV00089;Eukaryota(97);Stramenopiles(97);Oomycetes(94);Peronosporales(72);Peronosporaceae(67);unclassified;unclassified
ASV00090;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_rostratifingens(60)
ASV00091;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00092;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00093;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00094;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(88);Saprolegniaceae(88);unclassified;unclassified
ASV00095;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(100);Peronosporales_incertae_sedis(96);Phytophthora(96);Phytophthora_citricola(82)
ASV00096;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(87);Pythium(87);unclassified
ASV00097;Eukaryota(100);Stramenopiles(100);Oomycetes(90);unclassified;unclassified;unclassified;unclassified
ASV00098;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00099;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(97);Pythium(90);unclassified
ASV00100;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(85);Saprolegniaceae(85);unclassified;unclassified
ASV00101;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00102;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(61);Peronosporaceae(61);unclassified;unclassified
ASV00103;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(78)
ASV00104;Eukaryota(100);Stramenopiles(100);Oomycetes(97);unclassified;unclassified;unclassified;unclassified
ASV00105;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00106;Eukaryota(100);Stramenopiles(100);Oomycetes(93);unclassified;unclassified;unclassified;unclassified
ASV00107;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00108;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(100);Saprolegniaceae(100);Saprolegnia(100);Saprolegnia_ferax(100)
ASV00109;Eukaryota(100);Stramenopiles(100);Oomycetes(92);unclassified;unclassified;unclassified;unclassified
ASV00110;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00111;Eukaryota(100);Stramenopiles(100);Oomycetes(88);unclassified;unclassified;unclassified;unclassified
ASV00112;Eukaryota(100);Stramenopiles(100);Oomycetes(98);unclassified;unclassified;unclassified;unclassified
ASV00113;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00114;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(82);Pythium(80);unclassified
ASV00115;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(93);Pythium(88);unclassified
ASV00116;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00117;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(100);Saprolegniaceae(100);Saprolegnia(100);Saprolegnia_ferax(100)
ASV00118;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00119;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00120;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00121;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00122;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00123;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00124;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00125;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00126;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(100);Peronosporaceae(100);Plasmopara(100);Plasmopara_halstedii(100)
ASV00127;Eukaryota(100);Stramenopiles(100);Oomycetes(97);unclassified;unclassified;unclassified;unclassified
ASV00128;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(99);Pythiaceae(99);Pythium(99);Pythium_kandovanense(71)
ASV00129;Eukaryota(100);Stramenopiles(100);Oomycetes(97);unclassified;unclassified;unclassified;unclassified
ASV00130;Eukaryota(100);Stramenopiles(100);Oomycetes(98);unclassified;unclassified;unclassified;unclassified
ASV00131;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00132;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(64);Peronosporaceae(61);unclassified;unclassified
ASV00133;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00134;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00135;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(96);unclassified
ASV00136;Eukaryota(100);Stramenopiles(100);Oomycetes(95);unclassified;unclassified;unclassified;unclassified
ASV00137;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00138;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(62);Peronosporaceae(60);unclassified;unclassified
ASV00139;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(90);Pythiaceae(90);Pythium(90);unclassified
ASV00140;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(100);Saprolegniaceae(100);Saprolegnia(100);Saprolegnia_ferax(100)
ASV00141;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(70)
ASV00142;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Saprolegniales(100);Saprolegniaceae(100);Saprolegnia(100);Saprolegnia_ferax(100)
ASV00143;Eukaryota(100);Stramenopiles(100);Oomycetes(98);unclassified;unclassified;unclassified;unclassified
ASV00144;Eukaryota(100);Stramenopiles(100);Oomycetes(91);unclassified;unclassified;unclassified;unclassified
ASV00145;Eukaryota(100);Stramenopiles(100);Oomycetes(96);unclassified;unclassified;unclassified;unclassified
ASV00146;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(99);Pythium(99);unclassified
ASV00147;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00148;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(90)
ASV00149;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);unclassified
ASV00150;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00151;Eukaryota(100);Stramenopiles(100);Oomycetes(97);unclassified;unclassified;unclassified;unclassified
ASV00152;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00153;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(93)
ASV00154;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00155;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00156;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(87);Pythium(87);Pythium_attrantheridium(64)
ASV00157;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_attrantheridium(96)
ASV00158;Eukaryota(100);Stramenopiles(100);Oomycetes(97);unclassified;unclassified;unclassified;unclassified
ASV00159;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00160;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(92)
ASV00161;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(92);Pythium(91);unclassified
ASV00162;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00163;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(64);unclassified;unclassified;unclassified
ASV00164;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00165;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(94);unclassified
ASV00166;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(72)
ASV00167;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00168;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00169;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(62);unclassified;unclassified;unclassified
ASV00170;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(60);unclassified;unclassified;unclassified
ASV00171;Eukaryota(97);Stramenopiles(97);Oomycetes(68);unclassified;unclassified;unclassified;unclassified
ASV00172;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00173;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00174;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00175;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(92);Pythiaceae(92);Pythium(89);unclassified
ASV00176;Eukaryota(100);Stramenopiles(100);Oomycetes(96);unclassified;unclassified;unclassified;unclassified
ASV00177;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00178;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00179;Eukaryota(97);Stramenopiles(97);Oomycetes(94);Peronosporales(68);Peronosporaceae(67);unclassified;unclassified
ASV00180;Eukaryota(100);Stramenopiles(100);Oomycetes(98);unclassified;unclassified;unclassified;unclassified
ASV00181;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(73)
ASV00182;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(87);Pythium(87);Pythium_attrantheridium(60)
ASV00183;Eukaryota(100);Stramenopiles(100);Oomycetes(96);unclassified;unclassified;unclassified;unclassified
ASV00184;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00185;Eukaryota(100);Stramenopiles(100);Oomycetes(95);unclassified;unclassified;unclassified;unclassified
ASV00186;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);unclassified
ASV00187;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00188;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(93);Pythiaceae(93);Pythium(93);unclassified
ASV00189;Eukaryota(100);Stramenopiles(100);Oomycetes(95);unclassified;unclassified;unclassified;unclassified
ASV00190;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(78);Pythiaceae(78);Pythium(78);unclassified
ASV00191;Eukaryota(100);Stramenopiles(100);Oomycetes(94);unclassified;unclassified;unclassified;unclassified
ASV00192;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(92);Pythium(92);Pythium_intermedium(73)
ASV00193;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(99);Pythiaceae(99);Pythium(99);unclassified
ASV00194;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00195;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(100);Peronosporales_incertae_sedis(99);Phytophthora(99);Phytophthora_citricola(79)
ASV00196;Eukaryota(100);Stramenopiles(100);Oomycetes(97);unclassified;unclassified;unclassified;unclassified
ASV00197;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00198;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(62);unclassified;unclassified;unclassified
ASV00199;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(81)
ASV00200;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(68);Pythiaceae(68);Pythium(68);unclassified
ASV00201;Eukaryota(98);Stramenopiles(98);Oomycetes(98);Peronosporales(62);Peronosporaceae(62);unclassified;unclassified
ASV00202;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(90);Pythium(88);unclassified
ASV00203;Eukaryota(99);Stramenopiles(99);Oomycetes(77);unclassified;unclassified;unclassified;unclassified
ASV00204;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00205;Eukaryota(100);Stramenopiles(100);Oomycetes(98);unclassified;unclassified;unclassified;unclassified
ASV00206;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(63);unclassified;unclassified;unclassified
ASV00207;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00208;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00209;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00210;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00211;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(98);Pythiaceae(98);Pythium(98);unclassified
ASV00212;Eukaryota(100);Stramenopiles(100);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00213;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00214;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00215;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Peronosporales(65);unclassified;unclassified;unclassified
ASV00216;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00217;Eukaryota(100);Stramenopiles(100);Oomycetes(99);unclassified;unclassified;unclassified;unclassified
ASV00218;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00219;Eukaryota(100);Stramenopiles(100);Oomycetes(98);unclassified;unclassified;unclassified;unclassified
ASV00220;Eukaryota(100);Stramenopiles(100);Oomycetes(96);unclassified;unclassified;unclassified;unclassified
ASV00221;Eukaryota(100);Stramenopiles(100);Oomycetes(95);Peronosporales(81);Peronosporaceae(80);Peronospora(64);unclassified
ASV00222;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_kandovanense(60)
ASV00223;Eukaryota(100);Stramenopiles(100);Oomycetes(98);unclassified;unclassified;unclassified;unclassified
ASV00224;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(100);Pythium(100);Pythium_attrantheridium(92)
ASV00225;Eukaryota(100);Stramenopiles(100);Oomycetes(100);Pythiales(100);Pythiaceae(93);Pythium(93);unclassified
ASV00226;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00227;Eukaryota(100);Stramenopiles(100);Oomycetes(100);unclassified;unclassified;unclassified;unclassified
ASV00228;Eukaryota(100);Stramenopiles(100);Oomycetes(98);unclassified;unclassified;unclassified;unclassified
ASV00229;Eukaryota(98);Stramenopiles(98);Oomycetes(96);Peronosporales(71);Peronosporaceae(71);unclassified;unclassified
ASV00230;Eukaryota(100);Stramenopiles(100);Oomycetes(98);unclassified;unclassified;unclassified;unclassified
