"";"domain";"supergroup";"class";"order";"family";"genus";"species"
"OO00073";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00074";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_intermedium"
"OO00075";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00076";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00077";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00078";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00079";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00080";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00081";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00082";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"unclassified_Saprolegniaceae";"unclassified_Saprolegniaceae"
"OO00083";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_heterothallicum"
"OO00084";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00085";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00086";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00087";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00088";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00089";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00090";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_rostratifingens"
"OO00091";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00092";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00093";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00094";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"unclassified_Saprolegniaceae";"unclassified_Saprolegniaceae"
"OO00095";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporales_incertae_sedis";"Phytophthora";"Phytophthora_citricola"
"OO00096";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00097";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00098";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00099";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00100";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"unclassified_Saprolegniaceae";"unclassified_Saprolegniaceae"
"OO00101";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00102";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00103";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00104";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00105";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00106";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00107";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00108";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"Saprolegnia";"Saprolegnia_ferax"
"OO00109";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00110";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00111";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00112";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00113";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00114";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00115";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00116";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00117";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"Saprolegnia";"Saprolegnia_ferax"
"OO00118";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00119";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00120";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00121";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00122";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00123";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00124";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00125";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00126";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"Plasmopara";"Plasmopara_sp"
"OO00127";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00128";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00129";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00130";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00131";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00132";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00133";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00134";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00135";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00136";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00137";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00138";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00139";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00140";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"Saprolegnia";"Saprolegnia_ferax"
"OO00141";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00142";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"Saprolegnia";"Saprolegnia_ferax"
"OO00143";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00144";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00145";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00146";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00147";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00148";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00149";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00150";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00151";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00152";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00153";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00154";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00155";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00156";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_attrantheridium"
"OO00157";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_attrantheridium"
"OO00158";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00159";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00160";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00161";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00162";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00163";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales"
"OO00164";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00165";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00166";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00167";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00168";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00169";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales"
"OO00170";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales"
"OO00171";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00172";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00173";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00174";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00175";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00176";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00177";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00178";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00179";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00180";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00181";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
